country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pakistan,1880,1970,2120,2150,2210,2300,2380,2370,2380,2440,2520,2590,2620,2770,3010,3260,3490,3650,3720,3770,3810,3930,4090,4220,4350,4510,4650,4820,5160,5280,5190,5700,6260
Panama,5070,5490,6020,6480,6730,6680,7100,7450,7860,8020,8360,8420,8800,8830,9470,10200,11300,12900,14100,14200,14600,16700,18200,20300,21800,24700,26900,29800,31000,31800,26900,31000,37500
Peru,3150,3380,3350,3530,3950,4230,4400,4700,4700,4750,4890,4990,5260,5470,5720,6140,6620,7350,8190,8330,8950,9630,10000,10600,10900,11100,11400,11900,12400,12800,11500,12800,14000
Philippines,2620,2670,2710,2780,2930,3060,3240,3440,3660,3730,3760,3890,4010,4200,4510,4800,5090,5460,5710,5840,6210,6450,6930,7330,7700,7940,8460,8880,9480,10000,8830,9250,10700
Palau,,,,,,,,,,,10800,11700,12300,11800,12500,13600,14200,15300,15000,13800,14300,15800,16600,16500,17700,19300,19600,18700,17800,18400,17800,16100,
Papua New Guinea,1680,1840,1990,2330,2450,2360,2440,2340,2190,2170,2120,2070,2030,2000,2070,2230,2230,2450,2460,2520,2720,2660,2890,2880,3470,3460,3680,3780,3740,3830,3830,3840,4180
Poland,5870,5720,5920,6310,6880,7580,8220,8870,9420,9980,10600,11100,11800,12200,12900,13600,14800,16200,17900,18600,20200,21900,22700,23400,24400,25800,27100,28700,30700,33500,34000,36500,42400
Puerto Rico,9470,9950,10200,10800,11300,11800,12200,12900,13300,14400,15400,15800,16000,16500,18700,19200,19900,20700,20600,20100,20200,20800,21800,22300,22600,22900,23000,22900,23500,24400,23400,24800,27800
Portugal,11800,12800,13300,13300,13600,14500,15000,15800,16600,17700,18600,19200,20100,20600,21200,22400,24000,25000,25800,25600,26400,26300,25800,27600,28100,28900,30800,32300,34100,36300,34400,36400,41300
Paraguay,,,,,,6240,6660,6660,6610,6460,6040,6140,6320,6160,6630,6940,7680,8620,9340,9240,10300,10900,10400,11500,11900,12000,12600,13100,13700,13800,13600,14600,15500
Palestine,,,,,2470,2600,2540,2860,3330,3570,3090,2710,2310,2610,3160,3590,3610,3800,4040,4200,4360,4780,5610,5810,6090,6680,7080,7250,7580,7660,6620,7470,8170
Qatar,,,,,,,,,,,81700,86100,88600,92000,103000,97700,115000,115000,117000,114000,128000,145000,153000,150000,137000,96600,84400,91900,91800,92300,92000,101000,110000
Romania,5260,4800,4500,4670,4970,5390,5700,5510,5480,5530,5810,6480,7090,7380,8610,9320,11200,13300,16400,16400,17100,18600,19500,19400,20500,21400,23600,26600,29000,32600,32900,35400,40000
Russia,8010,7840,6800,6350,5710,5570,5440,5580,5230,5680,6650,7260,7880,8970,10000,11500,14500,16300,19600,18800,19900,22100,23600,25200,24900,23400,23500,25200,28100,29100,29300,33100,35500
Rwanda,550,540,570,520,310,510,490,500,530,560,610,670,750,770,820,910,1000,1080,1180,1230,1300,1400,1430,1480,1630,1730,1790,1870,2020,2210,2130,2420,2730
Saudi Arabia,33700,37800,38500,37900,37300,37500,37600,37600,38400,36700,38300,38000,36500,40300,43900,46400,47300,47900,50000,47600,48600,53800,55500,54900,55500,49400,46700,48300,49300,49500,48200,52500,59900
Sudan,1400,1430,1570,1690,1750,1860,2010,2380,2450,2480,2590,2780,2900,3070,3220,3420,3620,3830,3900,3760,3680,4000,3710,3700,4460,4420,4720,4430,4200,4090,3870,3920,4150
Senegal,1510,1560,1580,1580,1570,1660,1700,1740,1830,1920,1990,2080,2050,2170,2270,2390,2460,2530,2610,2610,2660,2660,2730,2730,2820,2940,3040,3170,3360,3480,3510,3770,4060
Singapore,23600,25100,27000,29400,33100,35300,36600,40000,38100,40400,43500,42800,44200,47500,51100,55500,62300,67000,65200,62800,74600,77300,78400,78500,81500,81000,84000,88700,88300,90900,86600,99400,107000
Solomon Islands,1270,1340,1500,1580,1700,1840,1860,1810,1810,1750,1530,1410,1340,1440,1570,1700,1740,1760,1820,1850,2050,2140,2230,2450,2430,2420,2480,2570,2660,2700,2670,2680,2670
Sierra Leone,680,740,600,660,610,620,650,620,620,620,660,610,740,800,840,880,810,1080,1170,1190,1140,1230,1260,1710,1720,1560,1630,1570,1630,1700,1640,1760,2250
El Salvador,2800,2880,3130,3350,3560,3780,3840,3980,4110,4180,4320,4430,4530,4650,4810,5090,5510,5760,6000,5830,6020,6340,6350,6650,7000,7350,7750,8140,8510,8930,8320,9600,10500
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,53900,54900,57300,53700,61100,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,1050,1220,1420,1500,1550,1580,1610,1530,1600,1700
Serbia,,,,,,,,5720,6000,5530,6020,6490,7200,7600,8420,8970,9910,10900,12300,12300,12500,13200,13500,14100,14100,14200,15000,15500,16800,18400,19000,20600,22700
South Sudan,,,,,,,,,,,,,,,,,,,,,,1570,1380,1850,1210,1040,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,1820,1870,2040,2110,2280,2600,2730,2820,2860,2850,2900,2630,2950,3250,3120,3280,3360,3550,3620,3740,3880,4110
Suriname,6470,6820,6950,6530,6870,6900,6920,7180,7300,7080,7200,7080,7800,8330,9120,9890,10600,11600,12200,12500,12800,13200,14700,15900,16500,16700,13900,15800,17100,17300,13600,14300,16300
Slovak Republic,,,,,,8750,9490,10100,10600,10700,11300,12400,13300,13500,14600,16200,18400,20600,23300,23000,24900,25400,26500,27800,28700,29300,28900,29600,30900,32600,32600,33500,36800
Slovenia,,,,,,13700,14300,15300,16000,17100,18000,18900,20100,20900,22400,23600,25400,26900,28800,27100,27500,28500,28600,29600,30600,30600,33100,35900,38400,41500,40700,43500,47400
Sweden,19900,20100,19900,19800,21200,22500,23300,24200,25300,27400,29600,30000,31000,32400,34000,34700,38700,42100,43600,41200,43400,45500,46500,47400,48200,49500,50700,52900,54600,58100,58200,62800,67600
Eswatini,3560,3620,3700,3680,3670,4170,4460,4590,4500,4730,4690,5020,4950,5100,5500,6310,6520,7000,7060,7040,7140,7340,7510,8100,8200,8240,8030,7660,7960,7960,7880,9240,9830
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,34500,36200,39400,34900,34800,41100,42000,42100,42200,39800,43600,38100,41300,48400
Seychelles,8660,9140,10000,10800,10600,10400,11600,13200,13200,13300,13900,14200,13200,13300,14300,16000,17700,18200,17400,17300,17900,20300,22100,20900,22900,22500,26100,30200,26600,28500,26600,28800,28400
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,20900,22100,24200,25300,26100,26400,19500,21900,24400
Chad,710,770,820,670,750,750,740,770,810,790,760,840,880,860,1140,1320,1310,1380,1360,1580,1770,1760,1690,1500,1600,1760,1630,1560,1580,1600,1550,1550,1640
Togo,1120,1120,1070,930,1060,1140,1230,1380,1340,1330,1320,1330,1370,1460,1440,1380,1420,1410,1460,1500,1570,1730,1680,1750,1830,1930,1950,1970,2060,2150,2190,2350,2610
Thailand,4350,4800,5210,5700,6190,6730,7100,6900,6310,6670,7140,7420,7870,8470,9150,9740,10600,11400,11700,11600,12400,13000,13900,14100,14400,14700,15500,16300,17200,18100,17400,18200,20100
Tajikistan,2570,2410,1720,1460,990,970,780,840,890,920,990,1080,1210,1330,1500,1920,2210,2500,2740,2600,2840,3150,3480,3950,4060,3700,3570,3710,4040,4320,4500,5190,5680
Turkmenistan,,,,4440,3720,3390,3620,3260,3440,3970,4070,4350,4360,4580,4860,5280,6010,6990,7850,8180,8680,9850,10500,11200,11800,12400,13000,13100,14100,15100,,,
Timor-Leste,,,,,,,,,,,1770,1950,2220,1810,2090,2570,3880,5420,8340,6240,7340,9060,8690,7340,6220,5060,4220,4470,4520,6020,6910,6060,4740
Tonga,2200,2390,2430,2560,2840,3030,3150,3230,3380,3500,3520,3680,3960,4050,4060,4110,4290,4390,4680,4520,4610,5000,5140,5250,5380,5540,5960,6510,6830,7150,7290,7160,
Trinidad and Tobago,6270,6590,7380,7560,7830,8350,8910,9960,11000,11900,12800,13800,15100,17400,19800,21100,24500,26400,27700,26200,27400,25800,27500,28100,28300,27600,25800,26500,25700,26100,23400,25300,26300
Tunisia,3620,3780,4060,4110,4270,4430,4740,5040,5300,5640,5940,6250,6370,6750,7280,7620,8240,8890,9320,9640,9960,9840,10000,10000,10300,10200,10400,10600,11000,11300,10300,11200,12200
Turkey,8370,8570,9130,9940,9360,10100,10800,11700,8870,8530,9360,8930,9110,9420,10700,11700,13400,14700,15900,15300,17200,19400,20500,22200,23900,25600,26400,27800,27900,27600,27600,30300,37100
Tuvalu,,,,,,,,,,,,4760,5930,4210,4590,4510,4540,5310,5220,5250,4750,4750,4080,5080,4470,5860,5890,5870,6350,6720,6580,6850,7310
Tanzania,890,920,920,930,930,960,1010,1040,1070,1100,1150,1190,1290,1350,1450,1560,1700,1790,1870,1940,2020,2150,2040,2130,2180,2270,2370,2410,2540,2640,2640,2800,3050
Uganda,660,690,700,760,800,890,960,1000,1030,1100,1110,1150,1240,1300,1380,1470,1640,1770,1910,1980,2060,2240,1990,1990,2070,2130,2100,2080,2180,2280,2320,2420,2640
Ukraine,7790,7330,6580,5640,4530,4090,3780,3760,3730,3790,3990,4550,4920,5550,6440,6880,7630,8600,8940,7640,8240,8790,9600,10900,10600,10600,11300,12000,12800,13500,13400,13900,13300
Uruguay,6430,6930,7640,8000,8700,8720,9340,10300,10800,10800,10800,10600,10000,9800,10500,11800,12800,13900,15100,15700,17100,18300,17900,19400,20300,21000,21600,22100,22600,23400,22000,23100,26300
USA,23600,24100,25100,25900,27300,28400,29900,31500,33100,34700,36800,37700,38400,39800,42100,44500,47100,48300,48400,47000,49000,50900,53100,54400,56700,58200,58900,61200,64100,66300,64800,71100,78000
Uzbekistan,,,2360,2310,2200,2190,2210,2310,2410,2520,2620,2750,2880,3030,3330,3640,3970,4590,5100,5300,5560,5950,6130,6410,6580,6790,6860,6970,7500,7810,7840,8650,9640
St. Vincent and the Grenadines,3750,3910,4310,4590,4570,5030,5230,5450,5740,5910,6180,6510,6970,7520,8010,8530,9580,10300,10600,10700,10400,10600,11000,11600,11700,12100,13400,13500,14300,14800,14300,15000,16800
Venezuela,9380,10400,10900,10900,10600,11100,11100,11700,11600,11000,11500,11900,10600,9870,11700,13300,15000,16800,17600,16700,16400,17000,,,,,,,,,,,
Vietnam,1120,1220,1340,1450,1600,1800,1960,2110,2210,2330,2520,2710,2890,3120,3410,3740,4080,4420,4710,4890,5220,5630,6160,6490,6970,7210,7820,8500,9360,10200,10600,11100,12800
Vanuatu,1620,1490,1490,1500,1590,1630,1710,1800,1970,1990,2040,2030,1850,1910,1980,2070,2310,2370,2610,2550,2570,2660,2580,2740,2850,2830,2930,3040,3210,3660,3350,3530,3780
Samoa,1530,1520,,,,,,,,,,,3260,3480,3680,4020,4230,4370,4580,4630,5030,5240,5110,5160,5230,5530,5960,6060,6080,6360,6210,6000,5930
Yemen,1980,2010,2120,2170,2260,2440,2740,2870,3030,3020,3100,3200,3250,3320,3410,3570,3410,3740,3800,3830,4070,3500,3520,3710,,,,,,,,,
South Africa,6300,6350,6250,6370,6620,6840,7140,7350,7370,7560,7980,8250,8670,9000,9630,10400,11200,11800,12300,12200,12500,13000,12800,13200,13200,13300,13300,13600,13900,14100,13400,14400,15600
Zambia,1410,1380,1370,1500,1390,1420,1510,1550,1520,1590,1660,1740,1790,1910,1960,2070,2190,2300,2530,2830,2930,3110,3300,3360,3390,3290,3220,3240,3450,3450,3270,3630,3980
Zimbabwe,1570,1630,1440,1490,1610,1610,1850,1810,1730,1790,1740,1840,1750,1500,1370,1330,1250,1150,780,1350,1660,1850,2090,2270,2270,2310,2390,2070,2410,2260,2060,2280,2550
