country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Cuba,272000,292989,315598,339952,366184,394441,424879,457665,492981,531023,549935,567680,578471,581725,584997,588287,591596,594924,598270,607292,622317,643693,671781,706965,743993,782959,823967,867122,912537,949773,978399,997967,1008000,1008000,1008000,1008000,1008000,1008000,1008000,1011305,1017970,1028049,1041598,1058675,1076032,1093673,1111603,1129828,1148351,1167205,1186396,1206408,1226785,1247533,1268632,1290088,1311906,1334093,1356654,1373615,1384903,1390448,1390175,1384010,1377873,1371763,1365679,1359623,1353593,1352505,1356408,1365350,1379382,1398554,1417993,1437701,1457683,1477943,1498484,1517309,1534380,1549656,1563097,1574660,1586309,1598043,1609865,1621773,1633769,1644057,1652620,1659440,1664502,1667786,1671077,1674375,1677678,1680988,1684304,1697089,1719649,1752299,1795364,1849179,1904606,1961695,2020494,2081056,2143432,2208104,2275154,2344667,2416730,2491434,2568448,2647842,2729689,2814066,2899928,2985028,3069258,3152504,3234648,3315565,3398506,3483522,3570664,3659987,3751544,3839507,3923683,4003873,4079868,4151457,4224302,4298425,4373849,4450596,4528690,4614150,4707248,4808265,4917491,5035224,5155776,5279214,5405607,5535026,5667544,5798132,5926645,6047907,6170590,6296738,6426523,6559586,6695376,6833757,6974868,7119349,7267395,7418518,7574265,7736352,7902286,8067651,8230450,8390962,8550286,8709654,8869636,9025709,9169289,9297924,9413105,9514305,9600862,9672546,9729986,9774711,9809107,9848560,9908874,9984591,10065539,10149044,10235480,10326910,10425433,10527187,10626680,10713812,10783748,10840934,10887207,10926703,10963031,10998129,11033758,11070094,11105791,11139127,11170051,11199217,11225294,11246114,11260630,11269887,11276609,11283185,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191,11194449,11174587,11152631,11128799,11103138,11075736,11046696,11016041,10983569,10949207,10913301,10875840,10836646,10795857,10753317,10708951,10662877,10615034,10565416,10514019,10460869,10405863,10348775,10289433,10227682,10163491,10096925,10028085,9956916,9883418,9807823,9730624,9652117,9572189,9491219,9409710,9327766,9245789,9164137,9083047,9002825,8923573,8845508,8768801,8693526,8619641,8547093,8475821,8405631,8336377,8267966,8200172,8132623,8065244,7997875,7930273,7862267,7793940,7725377,7656410,7587190,7517922,7448756,7379801,7311184,7243050,7175474,7108520,7042179,6976538,6911623,6847417,6783940,6721306,6659418,6598211,6537839,6478341
Cyprus,184392,184412,184432,184452,184472,184492,184512,184532,184552,184572,184592,184612,184632,184652,184672,184692,184712,184733,184753,184773,184793,184813,184833,184853,184873,184893,184913,184933,184953,184973,184993,185013,185034,185054,185074,185094,185114,185134,185154,185174,185194,185214,185234,185255,185275,185295,185315,185335,185355,185375,185395,185406,185416,185426,185437,185447,185457,185468,185478,185488,185499,185509,185519,185530,185540,185550,185561,185571,185582,185592,185602,185613,185623,185633,185644,185654,185664,185675,185685,186127,187005,188325,190092,192311,194556,196828,199125,201450,203801,206219,208704,211257,213881,216575,219304,222067,224864,227697,230566,233564,236693,239957,243359,246902,250496,254143,257843,261597,265406,269168,272882,276545,280156,283712,287313,290960,294653,298393,302197,305960,309680,313356,316987,320570,324194,327859,331565,335313,339104,343959,349917,357019,365304,374816,384575,394589,404863,415405,426221,435824,444169,451208,456894,461176,465498,469861,474265,478710,483197,488274,493956,501274,508971,517021,525402,534125,543250,552883,563154,574158,585725,594771,601095,607072,612338,617345,622566,627695,632452,636821,640804,644413,647620,650705,648585,644982,648868,656414,663975,671611,679327,687170,696227,707477,719678,731664,743446,755021,766412,777592,788500,799061,810431,825986,844444,862418,880058,897471,914660,931600,948237,964830,982194,1000350,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488,1260138,1268467,1276508,1284246,1291644,1298685,1305389,1311784,1317850,1323605,1329063,1334251,1339205,1343910,1348377,1352623,1356675,1360553,1364280,1367860,1371301,1374621,1377817,1380891,1383832,1386636,1389291,1391785,1394123,1396271,1398149,1399739,1401093,1402230,1403132,1403807,1404209,1404311,1404137,1403666,1402902,1401862,1400569,1398999,1397139,1395028,1392695,1390139,1387385,1384473,1381406,1378200,1374887,1371515,1368134,1364757,1361431,1358199,1355107,1352190,1349437,1346887,1344608,1342593,1340850,1339377,1338159,1337176,1336407,1335895,1335626,1335525,1335564,1335738,1335997,1336302,1336657,1337053
Czech Republic,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5516349,5520440,5528637,5540956,5557411,5578018,5598701,5623145,5695961,5769720,5844434,5920116,5996778,6033858,6071168,6108708,6146481,6184487,6222728,6261205,6299921,6338875,6378071,6421552,6465329,6509405,6553781,6598460,6643444,6688734,6734333,6780242,6826465,6870309,6914435,6958845,7003540,7048521,7093792,7139353,7185208,7231356,7277801,7318846,7360123,7401633,7443377,7485356,7527572,7570026,7612719,7655654,7698830,7747227,7795928,7844935,7894250,7943875,7993812,8044063,8094630,8145514,8196719,8246023,8295623,8345522,8395720,8446221,8497026,8548136,8599553,8651280,8703318,8764419,8825950,8887912,8950309,9013144,9076421,9140141,9204309,9268928,9334000,9405000,9475000,9545000,9615000,9685000,9754000,9825000,9895000,9965000,10036000,10099000,10157000,10221000,10283000,10286000,10222000,10128000,10004000,9922000,9978000,10002000,10113000,10198000,10278000,10370000,10443000,10496000,10549000,10598000,10648000,10702000,10750000,10791000,10826000,10853000,10873000,10889000,10877000,11106000,11160000,11129000,11054000,11035000,11109000,10693000,9523000,8765000,8828360,8868627,8916634,8996945,9076531,9151638,9220466,9288972,9357535,9418155,9468429,9506695,9539362,9570405,9594139,9623934,9664981,9702730,9731805,9754258,9770099,9782560,9795744,9816549,9851275,9900291,9960863,10025715,10088044,10144499,10195871,10241203,10270060,10283835,10293691,10298164,10299715,10302326,10302680,10302082,10304152,10304496,10301192,10303362,10310956,10318916,10321302,10311702,10295651,10279044,10263833,10249147,10234710,10230276,10238170,10248038,10260999,10280113,10304815,10337829,10378583,10421510,10464749,10496379,10511065,10514552,10517182,10523798,10527591,10531305,10534593,10536871,10530953,10510751,10493986,10495295,10503734,10509965,10514272,10516793,10517691,10517076,10515199,10512538,10509580,10506590,10503807,10501506,10499897,10499200,10499538,10501215,10504313,10508559,10513988,10520411,10527692,10535748,10544122,10552717,10561172,10569346,10577126,10584219,10590559,10595819,10600058,10603376,10605651,10606867,10607003,10606040,10604087,10601326,10598088,10594699,10591361,10588234,10585518,10583549,10582638,10582953,10584694,10588371,10594376,10602336,10612077,10623803,10637418,10652900,10670128,10688588,10708212,10729116,10750976,10773665,10797026,10820883,10845123,10869528,10894323,10919383,10944360,10969477,10994479,11018907,11042762,11066104,11088722,11110596,11131893,11152489,11172303
Denmark,1000000,1007231,1014514,1021850,1029239,1036682,1044178,1051729,1059334,1066994,1074765,1082537,1090365,1098249,1106191,1114189,1122246,1130361,1138535,1147355,1156833,1166978,1177802,1189315,1200941,1212680,1224534,1236504,1248591,1259939,1270537,1280370,1289426,1297692,1306011,1314383,1322809,1331288,1339823,1349386,1359996,1371667,1384418,1398265,1412250,1426375,1440642,1455051,1469604,1485029,1501343,1518598,1536779,1555906,1575270,1594876,1614726,1634822,1655169,1675212,1694942,1714348,1733420,1752148,1771078,1790213,1809555,1829106,1848868,1868465,1887891,1907142,1926211,1945092,1964159,1983412,2002855,2022487,2042313,2062337,2082563,2102992,2123627,2144469,2165515,2186768,2208230,2229902,2251787,2274474,2297977,2322311,2347490,2373530,2399859,2426480,2453397,2480612,2508128,2536365,2565333,2595047,2625520,2656765,2688382,2720375,2752749,2785508,2818657,2852179,2886076,2920355,2955018,2990070,3025539,3061428,3097742,3134488,3171600,3207237,3241362,3273940,3304937,3334316,3363956,3393860,3424029,3454467,3485175,3515454,3545296,3574690,3603628,3632099,3660794,3689717,3718868,3748249,3777862,3810015,3844754,3882124,3922171,3964943,4008181,4051891,4096077,4140745,4185901,4228235,4267694,4299579,4330757,4362483,4394320,4426508,4459559,4491051,4521329,4551440,4581727,4613434,4645994,4680812,4718016,4756337,4796403,4834730,4867734,4896157,4922963,4951486,4981078,5008581,5033573,5058203,5078773,5094599,5108930,5119418,5125392,5126981,5126398,5124332,5121314,5119452,5119369,5121510,5126107,5133930,5144623,5158325,5175469,5193775,5213800,5235197,5256007,5277382,5298992,5319854,5340655,5360748,5378697,5396355,5415586,5436313,5457864,5479722,5502751,5526452,5550849,5576016,5600959,5625385,5650653,5677796,5706857,5737284,5766686,5795878,5825641,5854240,5882261,5910913,5939695,5968467,5996995,6024988,6052267,6078801,6104474,6129146,6152709,6175218,6196753,6217243,6236819,6255495,6273360,6290573,6307040,6322892,6338111,6352693,6366856,6380630,6394059,6407171,6419976,6432605,6445109,6457626,6470277,6483151,6496232,6509471,6522896,6536529,6550269,6564274,6578618,6593324,6608550,6624096,6639854,6655777,6671831,6688089,6704475,6720956,6737479,6753787,6769847,6785673,6801294,6816654,6831615,6846047,6860032,6873517,6886319,6898582,6910299,6921345,6931898,6942097,6951921,6961456,6970801,6980169,6989550,6998899,7008430,7018190,7028176,7038406,7048926,7059770,7070828,7082118,7093770
Djibouti,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22848,22936,23113,23381,23742,24198,24662,25135,25618,26110,26611,27121,27642,28172,28713,29264,29826,30398,30982,31576,32182,32800,33429,34071,34725,35391,36071,36763,37469,38188,38921,39512,39961,40259,40408,40405,40402,40399,40396,40392,40389,40386,40383,40380,40377,40374,40371,40367,40364,40361,40358,40363,40376,40397,40426,40464,40501,40538,40576,40613,40651,40688,40726,40763,40801,40839,40876,40914,40952,40989,41027,41082,41152,41240,41344,41465,41586,41707,41829,41952,42074,42197,42320,42444,42568,42692,42817,42942,43068,43194,43320,43438,43547,43648,43741,43825,43909,43994,44078,44163,44251,44411,44643,44947,45326,45779,46237,46699,47166,47638,48114,48576,49022,49453,49868,50267,50669,51074,51483,51895,52310,52803,53375,54029,54766,55587,56421,57267,58126,58998,59883,60992,62334,64317,66362,68493,70715,72997,75372,77847,80395,83025,85940,89270,93122,97670,102945,108772,114874,121168,127668,135390,144379,154225,165234,177327,191389,208582,229304,253083,278425,302856,324121,341316,355110,367726,382156,400709,424286,452272,482337,521104,577173,628521,623197,611231,623477,629619,644649,667786,694920,719371,742033,765490,789129,806411,818373,830861,846947,865196,882886,901103,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849,1136455,1152329,1168257,1184178,1200065,1215879,1231575,1247129,1262554,1277807,1292873,1307741,1322377,1336717,1350696,1364395,1377832,1390928,1403695,1416095,1428098,1439706,1450909,1461817,1472461,1482795,1492843,1502575,1511964,1521100,1530028,1538708,1547111,1555222,1563097,1570751,1578145,1585295,1592209,1598838,1605142,1611203,1616998,1622403,1627525,1632436,1637063,1641367,1645418,1649224,1652741,1655991,1658964,1661694,1664199,1666488,1668524,1670327,1671935,1673343,1674572,1675642,1676570,1677362,1678041,1678612,1679047,1679357,1679571,1679690,1679720,1679657,1679465,1679153,1678762,1678272,1677667,1676909
Dominica,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19950,19970,20009,20068,20147,20245,20345,20444,20545,20645,20747,20848,20950,21053,21156,21260,21364,21469,21574,21680,21786,21900,22021,22149,22284,22427,22571,22715,22861,23008,23155,23304,23453,23593,23734,23876,24018,24162,24306,24451,24597,24750,24911,25080,25256,25440,25625,25811,25999,26189,26379,26549,26699,26828,26935,27021,27108,27194,27281,27369,27456,27504,27511,27479,27407,27296,27185,27074,26963,26854,26744,26693,26699,26763,26886,27066,27248,27431,27616,27801,27988,28227,28518,28862,29262,29718,30181,30651,31128,31613,32106,32556,32963,33325,33642,33912,34185,34460,34737,35016,35313,35661,36060,36512,37017,37578,38146,38724,39310,39906,40510,41089,41643,42170,42670,43142,43619,44102,44590,45083,45581,46047,46479,46876,47238,47565,47893,48225,48558,48894,49231,49662,50188,50362,50544,50810,51214,51895,52951,54316,55972,57821,59379,60395,61224,62031,62843,63744,64728,65760,66865,68007,68895,69430,69870,70334,70822,71300,71748,72142,72478,72768,72978,72932,72626,72269,71936,71596,71215,70808,70397,69975,69481,69141,69112,69169,69198,69201,69166,69081,68938,68698,68346,68153,68262,68442,68574,68674,68742,68775,68782,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737,73040,73368,73685,73984,74264,74527,74770,74988,75178,75338,75474,75579,75660,75717,75743,75745,75722,75668,75593,75504,75391,75262,75112,74947,74769,74576,74377,74167,73941,73711,73475,73222,72959,72701,72427,72141,71850,71544,71237,70920,70585,70243,69889,69520,69144,68754,68351,67939,67516,67078,66623,66156,65686,65200,64703,64197,63682,63161,62636,62112,61579,61044,60513,59978,59446,58916,58385,57859,57340,56826,56314,55807,55316,54825,54333,53855,53385,52912
Dominican Republic,150000,146136,142371,138703,135130,131649,128257,124953,121734,118598,115621,112642,109740,106913,104159,101475,98861,96314,93833,92170,91318,91267,92011,93542,95098,96680,98288,99923,101585,103275,104994,106740,108516,110321,112156,114022,115919,117848,119808,121801,123827,125887,127982,130111,132275,134476,136713,138987,141299,143911,146835,150110,153723,157686,161751,165921,170199,174587,179087,183704,188440,193298,198281,203393,208637,214015,219533,225192,230998,236948,243047,249299,255706,262274,269011,275920,283007,290276,297732,305379,313223,321268,329520,337983,346664,355568,364701,374068,383676,393530,403638,414005,424638,435545,446732,458206,469974,482045,494426,507530,521386,536027,551487,567798,584591,601881,619683,638011,656881,675671,694364,712939,731376,749655,768390,787593,807277,827452,847974,871059,896843,925472,957096,991872,1027911,1065260,1103966,1144078,1185648,1226900,1267768,1308185,1348076,1387366,1427801,1469414,1512240,1556315,1601674,1650215,1702095,1757479,1816537,1879448,1944537,2011881,2081558,2153647,2228233,2304259,2381740,2455305,2532758,2614566,2700717,2791108,2885526,2983695,3085349,3190231,3298021,3408415,3521164,3635798,3752313,3868712,3987090,4108916,4230877,4352954,4475871,4599841,4724801,4851183,4978582,5106453,5235318,5365074,5495443,5625864,5755800,5885244,6014979,6147213,6282104,6417798,6554325,6692720,6834207,6980033,7129004,7278402,7427340,7576074,7723934,7869753,8012314,8150076,8282126,8411374,8540791,8669040,8795101,8919852,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821,11332972,11434005,11532151,11627301,11719851,11809986,11897570,11982523,12065051,12145326,12223234,12298752,12372136,12443225,12511883,12578040,12641774,12703248,12762152,12818453,12872473,12924431,12974297,13021610,13065951,13107192,13145386,13180541,13212861,13242309,13268987,13293157,13314502,13332713,13348144,13361084,13371470,13379162,13384513,13387322,13387025,13384118,13378858,13371252,13361126,13348539,13333851,13317000,13297923,13276673,13253145,13227327,13199396,13169292,13137127,13103007,13066779,13028595,12988263,12945723,12901371,12855078,12806852,12756973,12705317,12651872,12597047,12540848,12483149,12424150,12364118,12302787,12239924,12175738,12110248,12043775,11976444,11908081
Ecuador,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,501646,504965,509985,516734,525240,533886,542674,551607,560687,569916,579298,588833,598526,608378,618393,628572,638919,649436,660127,670993,682038,693265,704677,716276,728067,740051,752233,764616,777202,789995,802087,813456,824644,835079,844735,854502,864382,874375,884484,894709,905052,915515,926097,936802,947630,958582,969661,980867,992202,1003668,1015261,1026980,1038829,1050809,1062920,1075170,1087561,1100095,1112772,1125595,1138565,1151684,1164954,1178376,1191953,1205685,1219574,1233624,1247834,1262208,1276746,1291452,1306326,1321371,1336589,1351981,1367550,1383298,1399226,1415338,1432696,1451333,1471280,1492569,1515235,1538243,1561601,1585312,1609383,1633819,1657178,1679429,1700537,1720468,1739186,1758108,1777234,1796568,1816111,1834665,1852686,1870163,1887084,1903438,1919212,1935118,1951155,1967325,1983629,2000068,2023061,2052817,2089550,2133481,2184834,2237423,2291278,2346429,2402908,2460746,2523924,2592696,2667325,2748086,2835263,2925206,3018002,3113742,3212519,3314430,3416527,3518733,3613175,3710588,3811220,3915140,4022378,4133240,4248157,4367090,4490253,4618158,4751507,4890425,5034334,5183283,5337351,5495761,5658446,5825663,5997037,6172215,6350944,6533630,6720443,6911123,7105786,7304349,7506665,7712718,7922490,8135845,8352602,8572607,8795873,9022979,9254311,9490096,9729376,9969788,10210185,10449837,10686279,10914222,11132829,11347652,11561683,11775221,11987838,12199693,12412046,12626507,12845521,13070609,13301184,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000,18190484,18377367,18563370,18749869,18936525,19122047,19305626,19486952,19665584,19840908,20012290,20179297,20342202,20500994,20655436,20805883,20952371,21094529,21232395,21366555,21496458,21621378,21741483,21856853,21967446,22073004,22173750,22269779,22361021,22447977,22530406,22607976,22680631,22748299,22811195,22869268,22922614,22971569,23016336,23056544,23091495,23121345,23145739,23164535,23178170,23186965,23190940,23189491,23183310,23172431,23156494,23135393,23109594,23079881,23045676,23006709,22963215,22915904,22865215,22811089,22753258,22692210,22628477,22562110,22493299,22421935,22348394,22273331,22197010,22119023,22039199,21958030,21875516,21791971,21707618,21621978,21535584,21448228
Egypt,3500000,3531800,3563888,3596268,3628943,3661914,3695185,3728758,3762636,3796822,3831632,3866445,3901574,3937022,3972792,4008887,4045311,4082065,4119153,4151691,4179621,4202885,4221426,4235184,4248987,4262834,4276727,4290665,4304648,4318677,4332752,4346873,4361039,4375252,4389511,4403817,4418169,4432568,4447014,4480233,4532740,4605060,4697733,4811313,4927638,5046776,5168794,5293763,5421753,5536835,5638537,5723732,5794492,5850322,5906690,5963599,6021055,6079064,6137630,6196759,6256456,6316727,6377577,6439012,6501037,6563659,6626882,6690713,6755157,6820220,6885909,6952229,7019186,7086786,7155036,7223941,7293509,7363745,7434655,7511621,7594768,7684226,7780124,7882597,7986417,8091603,8198173,8306144,8415536,8528095,8643889,8762982,8885443,9011340,9139020,9268507,9399826,9533003,9668066,9803830,9940289,10077437,10215268,10353774,10494157,10636440,10780650,10926812,11074954,11219744,11361079,11498855,11632963,11763295,11895084,12028348,12163101,12299362,12443062,12587076,12731391,12875995,13020877,13166025,13312790,13461191,13611246,13762974,13916394,14078659,14249967,14430516,14620510,14820156,15022528,15227663,15435599,15646375,15860029,16118395,16423191,16776186,17179205,17634128,18101098,18580434,19072463,19577521,20095954,20620147,21150058,21606363,22108164,22659254,23241217,23841701,24453498,25078378,25700968,26345761,27034499,27747867,28485022,29245936,30026648,30818469,31613132,32408414,33204629,33995955,34781986,35555969,36330768,37120776,37930374,38775584,39649050,40577356,41576636,42632458,43748556,44899573,46088647,47353665,48676443,50035843,51424313,52841319,54298446,55765843,57214630,58611032,59989142,61382200,62775847,64166908,65565195,66993728,68446011,69907887,71371371,72854261,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,112716598,114484252,116275465,118058996,119838003,121611091,123382198,125151725,126921867,128705494,130511810,132340744,134183751,136037397,137892015,139742335,141589905,143422685,145240099,147040749,148813595,150552248,152256979,153937518,155594880,157213750,158792464,160339889,161854139,163339053,164799523,166230914,167631369,169011142,170373038,171707193,173017278,174311285,175587421,176841953,178073988,179284095,180466106,181622876,182758060,183869755,184955563,186013927,187051149,188065704,189048126,189999525,190924691,191819030,192682940,193517318,194325600,195111685,195874917,196615804,197332109,198019417,198684171,199326027,199940286,200528178,201086011,201609718,202099581,202560997,202997583,203408364,203788850,204137933,204453664,204740622,204998891,205225076
El Salvador,248000,238098,228590,219463,210700,202287,194210,186455,179010,171862,173349,174838,179307,186765,194532,202623,211050,219828,228970,237078,244089,249940,254562,257886,261253,264665,268121,271622,275169,278762,282402,286090,289825,293610,297444,301328,305263,309249,313287,317378,321522,325721,329974,334283,338648,343070,347550,352088,356686,361478,366470,372316,378389,384695,391106,397622,404246,410979,417823,424779,431850,439038,446343,453769,461317,468990,476788,484715,492772,501707,511554,522346,534120,546912,560009,573419,587147,601203,615593,629258,642161,654266,665534,675925,686477,697192,708072,719119,730338,740908,750809,760023,768527,776302,784153,792081,800088,808173,816338,826721,839397,854442,871937,891960,912442,933391,954819,976736,999154,1022114,1045631,1069718,1094387,1119654,1145502,1171943,1198992,1226662,1253010,1279793,1307019,1334694,1362824,1391418,1420611,1450417,1480848,1511918,1543640,1573289,1600789,1626060,1649019,1669584,1690405,1711486,1732829,1754439,1776318,1800321,1826506,1854933,1885665,1918763,1952443,1986714,2021586,2057070,2093178,2134876,2182409,2232150,2283105,2335943,2390852,2448633,2509186,2572504,2637600,2705557,2779327,2858896,2937821,3014885,3095170,3179506,3266436,3354611,3443251,3530958,3619090,3708010,3798109,3890639,3984049,4076751,4166890,4256699,4346522,4433041,4508992,4549173,4599904,4689680,4782219,4876757,4970788,5067200,5170440,5270825,5367179,5461070,5552206,5630987,5693038,5748195,5797140,5842638,5885083,5923852,5958482,5988095,6011275,6026849,6035655,6037817,6034436,6044131,6068099,6091188,6114034,6137349,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392,6364943,6396289,6426229,6454735,6481920,6507533,6531581,6554224,6575289,6594732,6612593,6628758,6642981,6655215,6665414,6673556,6679834,6684174,6686672,6687447,6686596,6684118,6679967,6674258,6667096,6658486,6648422,6636854,6623673,6608955,6592679,6574781,6555297,6534368,6511985,6488040,6462632,6435806,6407503,6377657,6346333,6313485,6279006,6242974,6205574,6166724,6126257,6084247,6040699,5995641,5948952,5900549,5850631,5799283,5746462,5692173,5636436,5579374,5520965,5461194,5400277,5338248,5275117,5211105,5146312,5080813,5014842,4948431,4881627,4814632,4747639,4680722,4613943,4547448,4481207,4415225,4349602,4284249
Equatorial Guinea,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80538,80861,81348,82001,82821,83650,84486,85331,86185,87047,87917,88797,89685,90582,91488,92403,93327,94261,95203,96156,97117,98089,99070,100061,101061,102072,103093,104124,105166,106218,107193,108091,108945,109718,110411,111108,111810,112515,113226,113940,114660,115383,116112,116845,117582,118324,119071,119823,120579,121340,122130,122950,123801,124681,125593,126511,127436,128368,129306,130252,131204,132163,133129,134102,135083,136070,137065,138067,139076,140093,140776,141124,141137,140814,140153,139495,138840,138188,137539,136894,136115,135206,134169,133004,131714,130437,129172,127920,126679,125451,124333,123323,122421,121624,120931,120242,119557,118876,118199,117490,117226,117411,118047,119138,120686,122255,123845,125455,127085,128738,130385,132027,133663,135293,136916,138559,140222,141905,143608,145331,148052,151826,156712,162770,170065,177688,185652,193973,202667,211750,219678,226381,230172,233980,237853,241788,245800,249890,254060,258320,262724,267351,272264,277490,283018,288852,295010,301517,308374,315325,318846,316955,311952,305362,298050,290558,283262,276000,271377,270866,273925,282509,296950,315741,336744,357995,378379,397276,414769,431587,448420,465549,483142,501334,520236,539992,560740,582573,605570,629734,655029,684977,719270,754115,789681,826355,864726,905418,948814,994971,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908,1714671,1754993,1795574,1836245,1876960,1917711,1958618,1999678,2040834,2081992,2122936,2163786,2204633,2245434,2286181,2326720,2367028,2407198,2447173,2486805,2526010,2564853,2603554,2641890,2679707,2717119,2754095,2790533,2826271,2861456,2896262,2930508,2964079,2997071,3029550,3061407,3092599,3123385,3153706,3183517,3212794,3241356,3269269,3296522,3323102,3349076,3374506,3399334,3423494,3447136,3470256,3492751,3514731,3536147,3556875,3577082,3596844,3616102,3634826,3652827,3670059,3686637,3702506,3717651,3732030,3745720,3758789,3771151,3782755,3793597,3803608,3812867,3821518,3829521,3836954,3843890,3850163,3855777
